"Category","Value"
"Name","solomonedwards.com"
"Functional Level","Windows2008R2Forest"
"Domain Naming Master","IADDC01.solomonedwards.com"
"Schema Master","IADDC01.solomonedwards.com"
"RootDomain","solomonedwards.com"
"Domain Count","1"
"Site Count","8"
"Global Catalog Count","3"
"Domain","solomonedwards.com"
"Site","iCore-Cloud"
"Site","PA-KingOfPrussia"
"Site","ILL-Chicago"
"Site","VA-Vienna"
"Site","GA-Atlanta"
"Site","TX-HOU"
"Site","CA-SanFrancisco"
"Site","DR-Site"
"GlobalCatalog","IADDC01.solomonedwards.com"
"GlobalCatalog","HOUDC04.solomonedwards.com"
"GlobalCatalog","PHLDC05.solomonedwards.com"
"Tombstone Lifetime","180"
"Recycle Bin (2008 R2 onwards)","Disabled"
"Privileged Access Management (2016 onwards)","Disabled"
