"Name","ServerName","ShareName","DriverName","DriverVersion","PortName","URL","whenCreated","whenChanged"
"HOUDC04-RICOH Aficio SP C430DN PCL 5c","HOUDC04.solomonedwards.com","RICOH Aficio SP C430DN PCL 5c","RICOH Aficio SP C420DN PCL 5c","1025","192.168.12.54","http://HOUDC04.solomonedwards.com/RICOH Aficio SP C430DN PCL 5c","8/25/2021 6:39:33 AM","8/25/2021 6:39:21 AM"
"HOUDC04-HOU - Ricoh Aficio SP C420DN PCL5c","HOUDC04.solomonedwards.com","HOU - Ricoh Aficio SP C420DN PCL5c","PCL6 Driver for Universal Print","1025","192.168.12.51","http://HOUDC04.solomonedwards.com/HOU - Ricoh Aficio SP C420DN PCL5c","8/25/2021 6:39:42 AM","8/25/2021 6:39:21 AM"
"HOUDC04-HOU - RICOH Aficio 3045 PCL 5e","HOUDC04.solomonedwards.com","HOU - RICOH Aficio 3045 PCL 5e","RICOH Aficio 3045 PCL 5e","1025","192.168.12.57","http://HOUDC04.solomonedwards.com/HOU - RICOH Aficio 3045 PCL 5e","8/25/2021 6:39:44 AM","8/25/2021 6:39:21 AM"
"HOUDC04-HOU - Canon IR2545","HOUDC04.solomonedwards.com","HOU - Canon IR2545","Canon iR2535/2545 UFRII LT","1025","192.168.12.52","http://HOUDC04.solomonedwards.com/HOU - Canon IR2545","8/25/2021 6:39:46 AM","8/25/2021 6:39:21 AM"
"HOUDC04-Canon iR-ADV C5045","HOUDC04.solomonedwards.com","Canon iR-ADV C5045","Canon iR-ADV C5045/5051 UFR II","1025","192.168.12.53","http://HOUDC04.solomonedwards.com/Canon iR-ADV C5045","8/25/2021 6:39:48 AM","8/25/2021 6:39:21 AM"
"SOLOMON-PRT01-PHL - Temp HP M402","Solomon-Prt01.solomonedwards.com","PHL - Temp HP M402","HP LJ300-400 color M351-M451 PCL6 Class Driver","1025","192.168.1.42","http://Solomon-Prt01.solomonedwards.com/PHL - Temp HP M402","9/12/2021 9:07:55 AM","7/29/2024 5:40:57 PM"
"SOLOMON-PRT01-PHL - Ricoh Aficio SP C430DN Moerman","Solomon-Prt01.solomonedwards.com","PHL - Ricoh Aficio SP C430DN Moerman","RICOH Class Driver","1025","192.168.1.57","http://Solomon-Prt01.solomonedwards.com/PHL - Ricoh Aficio SP C430DN Moerman","9/12/2021 9:07:55 AM","9/12/2021 9:07:06 AM"
"SOLOMON-PRT01-PHL - Perm HP LaserJet 400","Solomon-Prt01.solomonedwards.com","PHL - Perm HP LaserJet 400","HP LaserJet Enterprise 600 M601 M602 M603 PCL6 Class Driver","1025","192.168.1.50","http://Solomon-Prt01.solomonedwards.com/PHL - Perm HP LaserJet 400","9/12/2021 9:07:55 AM","9/12/2021 9:07:06 AM"
"SOLOMON-PRT01-PHL - HR LaserJet M553","Solomon-Prt01.solomonedwards.com","PHL - HR HP Color LaserJet M553","HP Color LaserJet M553 PCL 6","1025","192.168.1.54","http://Solomon-Prt01.solomonedwards.com/PHL - HR HP Color LaserJet M553","9/12/2021 9:07:55 AM","9/12/2021 9:07:06 AM"
"SOLOMON-PRT01-PHL - Copy Room Canon IR C7055","Solomon-Prt01.solomonedwards.com","PHL - Copy Room Canon IR C7055","Canon iR-ADV C7055/C7065 Class Driver","1025","192.168.1.39","http://Solomon-Prt01.solomonedwards.com/PHL - Copy Room Canon IR C7055","9/12/2021 9:07:55 AM","9/12/2021 9:07:06 AM"
"SOLOMON-PRT01-PHL - Consulting HP Laserjet M553","Solomon-Prt01.solomonedwards.com","PHL - Consulting HP Laserjet M553","HP Color LaserJet M553 PCL 6","1025","192.168.1.56","http://Solomon-Prt01.solomonedwards.com/PHL - Consulting HP Laserjet M553","9/12/2021 9:07:55 AM","1/19/2024 4:56:49 PM"
"SOLOMON-PRT01-PHL - Accounting HP LaserJet P3015","Solomon-Prt01.solomonedwards.com","PHL - Accounting HP Laserjet P3015","HP LaserJet P3011/P3015 PCL6 Class Driver","1025","192.168.1.45","http://Solomon-Prt01.solomonedwards.com/PHL - Accounting HP Laserjet P3015","9/12/2021 9:07:56 AM","9/12/2021 9:07:06 AM"
